area_level1_name,area_level2_name,operator_name,sample_origin_4g_ios,sample_count_4g_ios,device_count_4g_ios,avg_dl_4g_ios,sample_origin_4g_ad,sample_count_4g_ad,device_count_4g_ad,avg_dl_4g_ad,sample_origin_ip12_5g,sample_count_ip12_5g,device_count_ip12_5g,avg_dl_ip12_5g,sample_origin_ip12_fb,sample_count_ip12_fb,device_count_ip12_fb,avg_dl_ip12_fb,sample_origin_ip12_lk,sample_count_ip12_lk,device_count_ip12_lk,avg_dl_ip12_lk,sample_origin_ad_5g,sample_count_ad_5g,device_count_ad_5g,avg_dl_ad_5g,sample_origin_ad_fb,sample_count_ad_fb,device_count_ad_fb,avg_dl_ad_fb,sample_origin_ad_lk,sample_count_ad_lk,device_count_ad_lk,avg_dl_ad_lk
South Karelia,Imatra,Telia,332,189,65,61,664,464,193,50.7,0,0,0,0,0,0,0,0,42,32,14,64.7,9,8,5,164.4,78,50,10,75,51,42,25,73.4
Republic of Karelia,Muyezersky District,MegaFon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Päijänne Tavastia,Heinola,DNA,126,109,72,50.4,558,323,163,56.1,70,38,4,305.5,13,11,3,123.4,20,13,11,115.6,55,31,16,229.9,52,44,16,80.2,159,80,23,110.3
Southern Savonia,Mikkeli,Elisa,386,289,167,46.5,1778,1206,529,52.2,46,23,10,248.7,30,22,14,88.3,61,47,26,84.2,212,127,57,190.3,222,163,67,55,99,65,40,45.8
Leningrad Oblast,Vyborgsky District,Beeline,1,1,1,67.1,5,5,2,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Savonia,Varkaus,DNA,11,6,3,37.1,6,5,5,43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tavastia Proper,Lahti,Telia,6,5,4,21,17,14,7,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,33.2
Southern Ostrobothnia,Southern Seinänaapuri,DNA,85,61,24,49,283,187,85,54.4,3,2,2,83.5,2,2,2,14.1,1,1,1,20.5,87,37,10,234.1,169,48,4,44.5,15,13,4,74.1
Finland Proper,Salo,Elisa,434,282,151,46.1,1376,899,404,42.4,56,43,21,245.8,24,19,7,66.7,37,32,18,60.7,257,116,50,205.9,257,156,60,66.1,61,49,30,53.9
North Savonia,North Eastern Savonia,Elisa,104,79,63,61,336,224,123,36.5,13,11,7,272.8,1,1,1,3.9,42,25,6,48.8,39,33,19,259.3,60,39,17,53.4,20,19,13,40.1
Central Ostrobothnia,Kaustinen,DNA,60,31,14,41.2,178,115,41,39,0,0,0,0,0,0,0,0,3,2,2,55.8,0,0,0,0,9,7,3,15.1,7,6,5,14.2
Northern Ostrobothnia,Siikalatva,DNA,22,18,11,51.2,204,113,56,35.5,2,2,2,317.9,0,0,0,0,0,0,0,0,12,9,3,292.9,12,7,5,79.9,7,7,4,32
Uusimaa,Helsinki,DNA,15011,10623,5074,79.4,33536,20558,8773,67.6,3209,1774,648,339.9,1377,1005,365,122.3,2284,1503,599,122.2,4381,2236,894,372.5,3037,1905,656,81.3,2034,1467,718,76
Lapland,Rovaniemi,Telia,499,385,183,63.8,1159,788,378,64.1,0,0,0,0,29,21,2,241.4,141,102,43,91.8,26,19,15,201.8,53,41,22,96.2,116,79,43,60.6
South Karelia,Western Saimaa,DNA,56,42,32,47.3,167,112,71,47.1,0,0,0,0,2,2,1,109.5,1,1,1,37.6,13,11,3,183.3,39,14,5,83.7,12,10,9,81.3
Ostrobothnia,Vaasa,Elisa,646,499,275,55.7,2219,1440,633,52.4,109,59,25,223,31,20,5,80.8,161,110,49,92.6,370,233,83,225.3,277,207,78,67.4,177,97,58,59.9
Republic of Karelia,Gorod Sortavala,Tele2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,81.5
Uusimaa,Helsinki,Telia,15764,11069,5929,52.4,24137,15658,7320,52.1,2179,1498,600,305.7,1385,884,357,77,2357,1690,910,71,5575,1944,712,298.5,3352,1874,606,63.5,1948,1304,689,51.9
Ostrobothnia,Kyrönmaa,Elisa,124,83,34,59,323,216,115,41.4,0,0,0,0,6,5,3,43.4,11,7,4,19.1,10,9,7,184.5,63,38,9,57.6,9,8,7,36.1
Northern Ostrobothnia,Nivala-Haapajärvi,DNA,38,32,21,37.7,247,186,108,37.4,4,2,2,177.3,8,1,1,53,4,3,3,84.1,8,7,3,354.8,32,20,7,80.1,10,9,7,51.9
Uusimaa,Porvoo,DNA,604,409,228,46.3,1314,910,394,39.9,32,22,19,158.9,40,24,12,73.1,73,57,29,68.4,24,19,18,269.3,88,64,35,54,112,90,43,36.5
