PostCode,NAME_1,NAME_2,NAME_3,NAME_4,PostCode_Name,Surface_Area,Inhabitants,Inhabitants_Density,Average_age,Average_income,Accumulated_purchasing_power,Buildings,Building_Density,Inhabitants_per_Building,Enterprise_Density,Enterprise_Total
33710,Western Finland,Pirkanmaa,Tampere,Tampere,33710  Kaukajärvi (Tampere),10683235,18455,1727,39,23821,349097986,2080,195,9,351,3747
33720,Western Finland,Pirkanmaa,Tampere,Tampere,33720  Hervanta (Tampere),12358429,25488,2062,37,19131,416898298,1364,110,19,937,11574
33730,Western Finland,Pirkanmaa,Tampere,Tampere,33730  Leinola-Vehmainen (Tampere),2530292,2157,852,40,31075,51709554,628,248,3,605,1530
33800,Western Finland,Pirkanmaa,Tampere,Tampere,33800  Nekala (Tampere),3210223,5347,1666,39,23522,105613289,779,243,7,1326,4257
33820,Western Finland,Pirkanmaa,Tampere,Tampere,33820  Koivistonkylä (Tampere),8928954,9088,1018,40,27205,196715857,1884,211,5,182,1627
33840,Western Finland,Pirkanmaa,Tampere,Tampere,33840  Peltolammi (Tampere),7160128,3269,457,43,21946,62304086,309,43,11,403,2885
33850,Western Finland,Pirkanmaa,Tampere,Tampere,33850  Multisilta (Tampere),3411586,2444,716,40,21198,42798633,174,51,14,230,786
33870,Western Finland,Pirkanmaa,Tampere,Tampere,33870  Vuores (Tampere),7373096,5480,743,29,26830,113089112,546,74,10,44,322
33880,Western Finland,Pirkanmaa,Tampere,Lempäälä,33880  Höytämö (Lempäälä),15453160,3728,241,40,27736,78493426,1042,67,4,97,1504
33900,Western Finland,Pirkanmaa,Tampere,Tampere,33900  Härmälä-Rantaperkiö (Tampere),7648211,12477,1631,39,23603,254938790,1163,152,11,1523,11649
33920,Western Finland,Pirkanmaa,Tampere,Pirkkala,33920  Toivio (Pirkkala),3842993,1241,323,37,31249,26967949,401,104,3,69,265
33950,Western Finland,Pirkanmaa,Tampere,Pirkkala,33950  Killo (Pirkkala),8164605,5952,729,40,30305,140554942,886,109,7,142,1163
33960,Western Finland,Pirkanmaa,Tampere,Pirkkala,33960  Suuppa (Pirkkala),42348152,10729,253,40,28719,233683436,2408,57,4,130,5493
33980,Western Finland,Pirkanmaa,Tampere,Pirkkala,33980  Pirkkala kk (Pirkkala),53896763,1471,27,39,33270,34733862,671,12,2,5,246
