Site_ID,Vendor,Longitude,Latitude,Type,Total_Sites,Swapped_Sites,Swapped_5G
2G10511,E,21.533324,61.139217,GUL,1,0,0
2G10512,E,22.255553,61.079493,GUL,1,0,0
2G10513,E,22.055356,60.457536,GUL,1,0,0
2G10514,E,21.536191,61.166071,GUL,1,0,0
2G10515,E,22.024322,61.456232,GUL,1,0,0
2G10516,E,21.715526,61.242108,GUL,1,0,0
2G10517,H,21.502360,61.128356,GULN,1,1,1
2G10518,E,21.508033,61.155091,GUL,1,0,0
2G10519,H,22.041396,60.519062,GUL,1,1,0
2G10521,H,22.139471,60.509309,GULN,1,1,1
2G10522,E,21.525284,61.147674,GUL,1,0,0
2G10523,E,22.084391,61.210829,GUL,1,0,0
2G10524,E,21.935980,60.731924,GUL,1,0,0
2G10525,E,21.635929,61.106386,GUL,1,0,0
2G10526,H,22.157992,60.471206,GULN,1,1,1
2G10527,E,21.528864,61.110840,GUL,1,0,0
2G10528,E,21.929403,61.433301,GUL,1,0,0
2G10529,E,22.049697,61.336761,GUL,1,0,0
2G10530,E,21.535688,61.051845,GUL,1,0,0
2G10531,H,22.022345,60.466236,GULN,1,1,1
2G10532,H,21.847126,61.098075,GULN,1,1,1
2G10533,E,21.866980,60.503015,GUL,1,0,0
2G10534,H,22.159760,60.485609,GULN,1,1,1
2G10535,H,22.020057,60.449211,GULN,1,1,1
2G10536,E,22.211159,61.103980,GUL,1,0,0
2G10537,E,22.175419,61.131742,GUL,1,0,0
2G10538,H,22.111104,60.575008,GULN,1,1,1
2G10539,E,21.896017,60.460451,GUL,1,0,0
2G10541,E,22.164580,61.300943,GUL,1,0,0
2G10542,H,22.161048,60.465380,GULN,1,1,1
2G10543,H,22.229502,60.519913,GULN,1,1,1
2G10544,E,22.001700,60.662543,GUL,1,0,0
2G10545,H,22.201747,60.474608,GULN,1,1,1
2G10546,H,22.033161,60.471633,GULN,1,1,1
2G10547,H,22.032695,60.474675,GUL,1,1,0
2G10548,E,22.005868,61.363932,GUL,1,0,0
2G10549,E,22.088419,60.603357,GUL,1,0,0
2G10551,E,22.430147,60.947928,GUL,1,0,0
2G10552,E,21.880724,60.765242,GUL,1,0,0
2G10553,E,21.462382,61.181153,GUL,1,0,0
2G10555,E,21.433144,61.133122,GUL,1,0,0
2G10556,H,22.118658,60.529139,GULN,1,1,1
2G10557,E,21.580084,61.137171,GUL,1,0,0
2G10558,H,22.172246,60.486350,GULN,1,1,1
2G10559,H,22.129652,60.484106,GULN,1,1,1
2G10560,H,21.518581,61.121969,GULN,1,1,1
2G10561,E,22.281697,61.159396,GUL,1,0,0
2G10562,H,22.238398,60.543420,GULN,1,1,1
2G10563,E,21.502322,61.108923,GUL,1,0,0
2G10564,H,22.034896,60.490050,GULN,1,1,1
2G10565,E,21.484131,61.146502,GUL,1,0,0
2G10566,H,22.335542,61.048422,GULN,1,1,1
2G10567,E,21.962072,61.381106,GUL,1,0,0
2G10568,H,22.081701,60.489089,GULN,1,1,1
2G10569,E,21.951797,61.127755,GUL,1,0,0
2G10570,E,21.871233,61.427429,GUL,1,0,0
2G10571,E,21.507393,61.086081,GUL,1,0,0
2G10572,E,21.569037,61.127817,GUL,1,0,0
2G10573,E,22.302064,61.060390,GUL,1,0,0
2G10574,E,22.051467,60.640386,GUL,1,0,0
2G10576,H,22.097796,60.465853,GULN,1,1,1
2G10577,E,21.599146,61.078019,GUL,1,0,0
2G10578,E,22.400094,61.036800,GUL,1,0,0
2G10579,E,21.932311,61.331165,GUL,1,0,0
2G10580,E,21.923624,61.272740,GUL,1,0,0
2G10581,H,22.059115,60.477700,GULN,1,1,1
2G10582,E,21.328779,61.053864,GUL,1,0,0
2G10583,E,21.368524,61.032850,GUL,1,0,0
2G10584,E,21.584374,60.986668,GUL,1,0,0
2G10585,E,21.570709,61.280180,GUL,1,0,0
2G10586,E,21.558564,61.209866,GUL,1,0,0
2G10587,E,21.879787,60.571859,GUL,1,0,0
2G10588,E,21.968056,60.568292,GUL,1,0,0
2G10589,E,22.119528,61.318100,GUL,1,0,0
2G10590,E,22.495408,60.997323,GUL,1,0,0
2G10591,E,21.554328,61.111367,GUL,1,0,0
2G10592,E,22.467092,61.054260,G,1,0,0
2G10593,E,22.409958,61.100413,GUL,1,0,0
2G10594,E,22.298319,61.109339,GUL,1,0,0
2G10595,E,21.970468,60.673057,GUL,1,0,0
2G10596,E,21.763605,61.143427,GUL,1,0,0
2G10597,E,22.427167,61.170225,GUL,1,0,0
